Service,Policy Definition,Parameter Requirements,Azure Security Benchmark,CIS,CCMC L3,ISO 27001,NIST SP 800-53 R4,NIST SP 800-171 R2,HIPAA HITRUST 9.2,New Zealand ISM,Parameters,Link
Kubernetes,Kubernetes cluster pods should only use approved host network and port range,Required,PV-2,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowHostNetwork, minPort, maxPort",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/HostNetworkPorts.json
Kubernetes,Kubernetes cluster pods should use specified labels,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, labelsList",
Kubernetes,Kubernetes cluster services should listen only on allowed ports,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedServicePortsList",
Kubernetes,Kubernetes cluster services should only use allowed external IPs,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedExternalIPs",
Kubernetes,Kubernetes cluster should not allow privileged containers,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector",
Kubernetes,Kubernetes clusters should be accessible only over HTTPS,Required,DP-4,,,,,,,,"excludedNamespaces, namespaces, labelSelector",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/IngressHttpsOnly.json
Kubernetes,Kubernetes clusters should disable automounting API credentials,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector",
Kubernetes,Kubernetes clusters should not allow container privilege escalation,Required,PV-2,,,,,,,,"excludedNamespaces, namespaces, labelSelector",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/ContainerNoPrivilegeEscalation.json
Kubernetes,Kubernetes clusters should not grant CAP_SYS_ADMIN security capabilities,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector",
Kubernetes,Kubernetes clusters should not use specific security capabilities,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, disallowedCapabilities",
Kubernetes,Kubernetes clusters should not use the default namespace,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector",
Kubernetes,Kubernetes clusters should use internal load balancers,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector",
Lighthouse,Allow managing tenant ids to onboard through Azure Lighthouse,Required,,,,,,,,,listOfAllowedTenants,
Machine Learning,Configure allowed Python packages for specified Azure Machine Learning computes,Required,,,,,,,,,"computeNames, allowedPythonPackageChannels",
Machine Learning,Configure allowed module authors for specified Azure Machine Learning computes,Required,,,,,,,,,"computeNames, allowedModuleAuthors",
Machine Learning,Configure allowed registries for specified Azure Machine Learning computes,Required,,,,,,,,,"computeNames, allowedACRs",
Machine Learning,Configure an approval endpoint called prior to jobs running for specified Azure Machine Learning computes,Required,,,,,,,,,"computeNames, approvalEndpoint",
Machine Learning,Configure code signing for training code for specified Azure Machine Learning computes,Required,,,,,,,,,"computeNames, signingKey",
Machine Learning,Configure log filter expressions and datastore to be used for full logs for specified Azure Machine Learning computes,Required,,,,,,,,,"computeNames, logFilters, datastore",
Monitoring,An activity log alert should exist for specific Administrative operations,Required,,5.2.9,,,,,1271.09ad1System.1 - 09.ad,,operationName,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_AdministrativeOperations_Audit.json
Monitoring,An activity log alert should exist for specific Policy operations,Required,,5.2.2,,,,,,,operationName,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_PolicyOperations_Audit.json
Monitoring,An activity log alert should exist for specific Security operations,Required,,5.2.8,,,,,,,operationName,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/ActivityLog_SecurityOperations_Audit.json
Monitoring,Audit Log Analytics workspace for VM - Report Mismatch,Required,,,,,SI-4,3.3.2,,AC-14,logAnalyticsWorkspaceId,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/LogAnalytics_WorkspaceMismatch_VM_Audit.json
Monitoring,Audit diagnostic setting,Required,,,,A.12.4.4,AU-12,3.3.4,1210.09aa3System.3 - 09.aa,DM-6,listOfResourceTypes,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Monitoring/DiagnosticSettingsForTypes_Audit.json
Monitoring,Dependency agent should be enabled for listed virtual machine images,Required,,,,,,,,,"listOfImageIdToInclude_windows, listOfImageIdToInclude_linux",
Monitoring,Dependency agent should be enabled in virtual machine scale sets for listed virtual machine images,Required,,,,,,,,,"listOfImageIdToInclude_windows, listOfImageIdToInclude_linux",
Monitoring,Log Analytics Agent should be enabled for listed virtual machine images,Required,,,,,,,,,"listOfImageIdToInclude_windows, listOfImageIdToInclude_linux",
Monitoring,Log Analytics agent should be enabled in virtual machine scale sets for listed virtual machine images,Required,,,,,,,,,"listOfImageIdToInclude_windows, listOfImageIdToInclude_linux",
Network,A custom IPsec/IKE policy must be applied to all Azure virtual network gateway connections,Required,,,,,,,,,"IPsecEncryption, IPsecIntegrity, IKEEncryption, IKEIntegrity, DHGroup, PFSGroup",
Network,Network Watcher should be enabled,Required,LT-3,6.5,,,,3.14.6,0888.09n2Organizational.6 - 09.n,,"listOfLocations, resourceGroupName",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Network/NetworkWatcher_Enabled_Audit.json
Network,Virtual machines should be connected to an approved virtual network,Required,,,,,,,0814.01n1Organizational.12 - 01.n,,virtualNetworkId,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Network/ApprovedVirtualNetwork_Audit.json
Network,Virtual networks should use specified virtual network gateway,Required,,,,,,,,,virtualNetworkGatewayId,
SQL,Virtual network firewall rule on Azure SQL Database should be enabled to allow traffic from the specified subnet,Required,,,,,,,,,subnetId,
Storage,Storage accounts should be limited by allowed SKUs,Required,,,,,,,,,listOfAllowedSKUs,
Synapse,Synapse managed private endpoints should only connect to resources in approved Azure Active Directory tenants,Required,,,,,,,,,allowedTenantIds,
Tags,Require a tag and its value on resource groups,Required,,,,,,,,,"tagName, tagValue",
Tags,Require a tag and its value on resources,Required,,,,,,,,,"tagName, tagValue",
Tags,Require a tag on resource groups,Required,,,,,,,,,tagName,
Tags,Require a tag on resources,Required,,,,,,,,,tagName,
