Service,Policy Definition,Parameter Requirements,Audit Only,Azure Security Benchmark,CIS,CCMC L3,ISO 27001,NIST SP 800-53 R4,NIST SP 800-171 R2,HIPAA HITRUST 9.2,New Zealand ISM,Parameters,Link
App Service,API apps should use an Azure file share for its content directory,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/App%20Service/AppService_ApiApp_StorageAccountRequired_Audit.json
App Service,Authentication should be enabled on your API app,None,Yes,,9.1,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_Authentication_ApiApp_Audit.json
App Service,Authentication should be enabled on your Function app,None,Yes,,9.1,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_Authentication_functionapp_Audit.json
App Service,Authentication should be enabled on your web app,None,Yes,,9.1,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_Authentication_WebApp_Audit.json
App Service,CORS should not allow every resource to access your API App,None,Yes,PV-2,,,,,,0911.09s1Organizational.2 - 09.s,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_RestrictCORSAccess_ApiApp_Audit.json
App Service,CORS should not allow every resource to access your Function Apps,None,Yes,PV-2,,,,,,0960.09sCSPOrganizational.1 - 09.s,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_RestrictCORSAccess_FuntionApp_Audit.json
App Service,CORS should not allow every resource to access your Web Applications,None,Yes,PV-2,,,,AC-4,3.1.3,0916.09s2Organizational.4 - 09.s,SS-8,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_RestrictCORSAccess_WebApp_Audit.json
App Service,Diagnostic logs in App Services should be enabled,None,Yes,LT-4,5.3,,,,,1209.09aa3System.2 - 09.aa,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_AuditLoggingMonitoring_Audit.json
App Service,Ensure API app has 'Client Certificates (Incoming client certificates)' set to 'On',None,Yes,PV-2,9.4,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_ApiApp_Audit_ClientCert.json
App Service,Ensure WEB app has 'Client Certificates (Incoming client certificates)' set to 'On',None,Yes,PV-2,9.4,,,,,0915.09s2Organizational.2 - 09.s,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_Webapp_Audit_ClientCert.json
App Service,"Ensure that 'HTTP Version' is the latest, if used to run the API app",None,Yes,,9.9,,,,3.14.1,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_ApiApp_Audit_HTTP_Latest.json
App Service,"Ensure that 'HTTP Version' is the latest, if used to run the Function app",None,Yes,,9.9,,,,3.14.1,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_FunctionApp_Audit_HTTP_Latest.json
App Service,"Ensure that 'HTTP Version' is the latest, if used to run the Web app",None,Yes,,9.9,,,,3.14.1,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_WebApp_Audit_HTTP_Latest.json
App Service,"Ensure that 'Java version' is the latest, if used as a part of the API app",Optional,Yes,PV-7,9.8,,,,3.14.1,,,JavaLatestVersion,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_ApiApp_Audit_java_Latest.json
App Service,"Ensure that 'Java version' is the latest, if used as a part of the Function app",Optional,Yes,PV-7,9.8,,,,3.14.1,,,JavaLatestVersion,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_FunctionApp_Audit_java_Latest.json
App Service,"Ensure that 'Java version' is the latest, if used as a part of the Web app",Optional,Yes,PV-7,9.8,,,,3.14.1,,,JavaLatestVersion,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_WebApp_Audit_java_Latest.json
App Service,"Ensure that 'PHP version' is the latest, if used as a part of the API app",Optional,Yes,PV-7,9.6,,,,3.14.1,,,PHPLatestVersion,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_ApiApp_Audit_PHP_Latest.json
App Service,"Ensure that 'PHP version' is the latest, if used as a part of the WEB app",Optional,Yes,PV-7,9.6,,,,3.14.1,,,PHPLatestVersion,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_Webapp_Audit_PHP_Latest.json
App Service,"Ensure that 'Python version' is the latest, if used as a part of the API app",Optional,Yes,PV-7,9.7,,,,3.14.1,,,"WindowsPythonLatestVersion, LinuxPythonLatestVersion",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_ApiApp_Audit_python_Latest.json
App Service,"Ensure that 'Python version' is the latest, if used as a part of the Function app",Optional,Yes,PV-7,9.7,,,,3.14.1,,,"WindowsPythonLatestVersion, LinuxPythonLatestVersion",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_FunctionApp_Audit_python_Latest.json
App Service,"Ensure that 'Python version' is the latest, if used as a part of the Web app",Optional,Yes,PV-7,9.7,,,,3.14.1,,,"WindowsPythonLatestVersion, LinuxPythonLatestVersion",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_WebApp_Audit_python_Latest.json
App Service,FTPS only should be required in your API App,None,Yes,DP-4,9.10,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_AuditFTPS_ApiApp_Audit.json
App Service,FTPS only should be required in your Function App,None,Yes,DP-4,9.10,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_AuditFTPS_FunctionApp_Audit.json
App Service,FTPS should be required in your Web App,None,Yes,DP-4,9.10,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_AuditFTPS_WebApp_Audit.json
App Service,Function App should only be accessible over HTTPS,None,Yes,DP-4,,,A.10.1.1,SC-8 (1),3.13.8,0949.09y2Organizational.5 - 09.y,SS-8,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppServiceFunctionApp_AuditHTTP_Audit.json
App Service,Function apps should have 'Client Certificates (Incoming client certificates)' enabled,None,Yes,PV-2,9.4,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_FunctionApp_Audit_ClientCert.json
App Service,Function apps should use an Azure file share for its content directory,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/App%20Service/AppService_FunctionApp_StorageAccountRequired_Audit.json
App Service,Latest TLS version should be used in your API App,None,Yes,DP-4,9.3,,,,3.14.1,0949.09y2Organizational.5 - 09.y,CR-6,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_RequireLatestTls_ApiApp_Audit.json
App Service,Latest TLS version should be used in your Function App,None,Yes,DP-4,9.3,,,,3.14.1,0949.09y2Organizational.5 - 09.y,CR-6,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_RequireLatestTls_FunctionApp_Audit.json
App Service,Latest TLS version should be used in your Web App,None,Yes,DP-4,9.3,,,,3.14.1,0949.09y2Organizational.5 - 09.y,CR-6,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_RequireLatestTls_WebApp_Audit.json
App Service,Managed identity should be used in your API App,None,Yes,IM-2,9.5,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_UseManagedIdentity_ApiApp_Audit.json
App Service,Managed identity should be used in your Function App,None,Yes,IM-2,9.5,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_UseManagedIdentity_FunctionApp_Audit.json
App Service,Managed identity should be used in your Web App,None,Yes,IM-2,9.5,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_UseManagedIdentity_WebApp_Audit.json
App Service,Remote debugging should be turned off for API Apps,None,Yes,PV-2,,,,AC-17 (1),3.1.12,0914.09s1Organizational.6 - 09.s,AC-7,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_DisableRemoteDebugging_ApiApp_Audit.json
App Service,Remote debugging should be turned off for Function Apps,None,Yes,PV-2,,,,AC-17 (1),3.1.12,1325.09s1Organizational.3 - 09.s,AC-7,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_DisableRemoteDebugging_FunctionApp_Audit.json
App Service,Remote debugging should be turned off for Web Applications,None,Yes,PV-2,,,,AC-17 (1),3.1.12,0912.09s1Organizational.4 - 09.s,AC-7,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppService_DisableRemoteDebugging_WebApp_Audit.json
App Service,Resource logs in App Services should be enabled,Optional,Yes,,,,,,,,,requiredRetentionDays,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/App%20Service/AppService_ResourceLoggingMonitoring_Audit.json
App Service,Web Application should only be accessible over HTTPS,None,Yes,DP-4,9.2,,A.10.1.1,SC-8 (1),3.13.8,0949.09y2Organizational.5 - 09.y,SS-8,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppServiceWebapp_AuditHTTP_Audit.json
App Service,Web apps should use an Azure file share for its content directory,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/App%20Service/AppService_WebApp_StorageAccountRequired_Audit.json
Attestation,Azure Attestation providers should use private endpoints,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Attestation/Attestation_PrivateLink_AuditIfNotExists.json
Automation,Automation account variables should be encrypted,None,No,DP-5,,,A.10.1.1,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Automation/Automation_AuditUnencryptedVars_Audit.json
Automation,Automation accounts should disable public network access,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Automation/AutomationAccount_PublicNetworkAccess_Audit.json
Automation,Azure Automation accounts should use customer-managed keys to encrypt data at rest,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Automation/AutomationAccount_CMK_Audit.json
Automation,Private endpoint connections on Automation Accounts should be enabled,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Automation/AutomationAccount_PrivateEndpoint_AuditIfNotExist.json
Azure Data Explorer,Azure Data Explorer encryption at rest should use a customer-managed key,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Azure%20Data%20Explorer/ADX_CMK.json
Azure Data Explorer,Disk encryption should be enabled on Azure Data Explorer,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Azure%20Data%20Explorer/ADX_disk_encrypted.json
Azure Data Explorer,Double encryption should be enabled on Azure Data Explorer,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Azure%20Data%20Explorer/ADX_doubleEncryption.json
Azure Data Explorer,Virtual network injection should be enabled for Azure Data Explorer,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Azure%20Data%20Explorer/ADX_VNET_configured.json
Azure Stack Edge,Azure Stack Edge devices should use double-encryption,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Azure%20Stack%20Edge/AzureStackEdge_DoubleEncryption_Audit.json
Backup,Azure Backup should be enabled for Virtual Machines,None,Yes,BR-2,,,,,,1699.09l1Organizational.10 - 09.l,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Backup/VirtualMachines_EnableAzureBackup_Audit.json
Backup,Azure Recovery Services vaults should use private link,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Backup/RecoveryServices_PrivateEndpoint_Audit.json
Batch,Azure Batch account should use customer-managed keys to encrypt data,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Batch/Batch_CustomerManagedKey_Audit.json
Batch,Metric alert rules should be configured on Batch accounts,Required,Yes,,,,,,,,,metricName,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Batch/Batch_AuditMetricAlerts_Audit.json
Batch,Private endpoint connections on Batch accounts should be enabled,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Batch/Batch_PrivateEndpoints_AuditIfNotExists.json
Batch,Public network access should be disabled for Batch accounts,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Batch/Batch_DisablePublicNetworkAccess_Audit.json
Batch,Resource logs in Batch accounts should be enabled,Optional,Yes,LT-4,5.3,,,,,1205.09aa2System.1 - 09.aa,,requiredRetentionDays,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Batch/Batch_AuditDiagnosticLog_Audit.json
Bot Service,Bot Service endpoint should be a valid HTTPS URI,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Bot%20Service/BotService_ValidEndpoint_Audit.json
Bot Service,Bot Service should be encrypted with a customer-managed key,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Bot%20Service/BotService_CMKEnabled_Audit.json
Cache,Azure Cache for Redis should disable public network access,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Cache/RedisCache_PublicNetworkAccess_AuditDeny.json
Cache,Azure Cache for Redis should reside within a virtual network,None,No,NS-2,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Cache/RedisCache_CacheInVnet_Audit.json
Cache,Azure Cache for Redis should use private link,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Cache/RedisCache_PrivateEndpoint_AuditIfNotExists.json
Cache,Only secure connections to your Azure Cache for Redis should be enabled,None,No,DP-4,,,A.13.2.1,SC-8 (1),3.13.8,0946.09y2Organizational.14 - 09.y,DM-6,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Cache/RedisCache_AuditSSLPort_Audit.json
Cognitive Services,Cognitive Services accounts should disable public network access,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Cognitive%20Services/CognitiveServices_DisablePublicNetworkAccess_Audit.json
Cognitive Services,Cognitive Services accounts should enable data encryption,None,No,DP-2,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Cognitive%20Services/CognitiveServices_Encryption_Audit.json
Cognitive Services,Cognitive Services accounts should enable data encryption with a customer-managed key,None,No,DP-5,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Cognitive%20Services/CognitiveServices_CustomerManagedKey_Audit.json
Cognitive Services,Cognitive Services accounts should restrict network access,None,No,NS-1,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Cognitive%20Services/CognitiveServices_NetworkAcls_Audit.json
Cognitive Services,Cognitive Services accounts should use a managed identity,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Cognitive%20Services/CognitiveServices_ManagedIdentity_Audit.json
Cognitive Services,Cognitive Services accounts should use customer owned storage,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Cognitive%20Services/CognitiveServices_UserOwnedStorage_Audit.json
Cognitive Services,Cognitive Services accounts should use customer owned storage or enable data encryption.,None,No,DP-5,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Cognitive%20Services/CognitiveServices_BYOX_Audit.json
Compute,Allowed virtual machine size SKUs,Required,No,,,,,,,,,listOfAllowedSKUs,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Compute/VMSkusAllowed_Deny.json
Compute,Audit VMs that do not use managed disks,None,Yes,,7.1,,A.9.1.2,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Compute/VMRequireManagedDisk_Audit.json
Compute,Audit virtual machines without disaster recovery configured,None,Yes,,,,,CP-7,,1638.12b2Organizational.345 - 12.b,ESS-3,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Compute/RecoveryServices_DisasterRecovery_Audit.json
Compute,Managed disks should be double encrypted with both platform-managed and customer-managed keys,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Compute/DoubleEncryptionRequired_Deny.json
Compute,Managed disks should use a specific set of disk encryption sets for the customer-managed key encryption,Required,No,,,,,,,,,allowedEncryptionSets,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Compute/ManagedDiskEncryptionSetsAllowed_Deny.json
Compute,Microsoft Antimalware for Azure should be configured to automatically update protection signatures,None,Yes,,,,,,,0201.09j1Organizational.124 - 09.j,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Compute/VirtualMachines_AntiMalwareAutoUpdate_AuditIfNotExists.json
Compute,Microsoft IaaSAntimalware extension should be deployed on Windows servers,None,Yes,,,,,,3.14.2,,SS-2,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Compute/WindowsServers_AntiMalware_AuditIfNotExists.json
Compute,OS and data disks should be encrypted with a customer-managed key,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Compute/OSAndDataDiskCMKRequired_Deny.json
Compute,Only approved VM extensions should be installed,Required,No,,7.4,,,,,,,approvedExtensions,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Compute/VirtualMachines_ApprovedExtensions_Audit.json
Compute,Require automatic OS image patching on Virtual Machine Scale Sets,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Compute/VMSSOSUpgradeHealthCheck_Deny.json
Compute,Resource logs in Virtual Machine Scale Sets should be enabled,Required,Yes,LT-4,5.3,,,,,1206.09aa2System.23 - 09.aa,,includeAKSClusters,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Compute/ServiceFabric_and_VMSS_AuditVMSSDiagnostics.json
Compute,Unattached disks should be encrypted,None,Yes,,7.3,,,,,0303.09o2Organizational.2 - 09.o,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Compute/UnattachedDisk_Encryption_Audit.json
Compute,Virtual machines and virtual machine scale sets should have encryption at host enabled,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Compute/HostBasedEncryptionRequired_Deny.json
Compute,Virtual machines should be migrated to new Azure Resource Manager resources,None,No,AM-3,,,A.9.1.2,,,0835.09n1Organizational.1 - 09.n,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Compute/ClassicCompute_Audit.json
Container Instance,Azure Container Instance container group should deploy into a virtual network,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Container%20Instance/ContainerInstance_VNET_Audit.json
Container Instance,Azure Container Instance container group should use customer-managed key for encryption,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Container%20Instance/ContainerInstance_CMK_Audit.json
Container Registry,Container registries should be encrypted with a customer-managed key,None,No,DP-5,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Container%20Registry/ACR_CMKEncryptionEnabled_Audit.json
Container Registry,Container registries should not allow unrestricted network access,None,Yes,NS-1,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Container%20Registry/ACR_NetworkRulesExist_Audit.json
Container Registry,Container registries should use private link,None,Yes,NS-3,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Container%20Registry/ACR_PrivateEndpointEnabled_Audit.json
Cosmos DB,Azure Cosmos DB accounts should have firewall rules,None,No,NS-4,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Cosmos%20DB/Cosmos_NetworkRulesExist_Audit.json
Cosmos DB,Azure Cosmos DB accounts should use customer-managed keys to encrypt data at rest,None,No,DP-5,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Cosmos%20DB/Cosmos_CMK_Deny.json
Cosmos DB,Azure Cosmos DB allowed locations,Required,Yes,,,,,,,,,"listOfAllowedLocations, policyEffect",https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Cosmos%20DB/Cosmos_Locations_Deny.json
Cosmos DB,Azure Cosmos DB should disable public network access,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Cosmos%20DB/Cosmos_PrivateNetworkAccess_AuditDeny.json
Cosmos DB,Azure Cosmos DB throughput should be limited,Required,No,,,,,,,,,throughputMax,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Cosmos%20DB/Cosmos_MaxThroughput_Deny.json
Cosmos DB,CosmosDB accounts should use private link,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Cosmos%20DB/Cosmos_PrivateEndpoint_Audit.json
Data Box,Azure Data Box jobs should enable double encryption for data at rest on the device,Optional,No,,,,,,,,,supportedSKUs,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Data%20Box/DataBox_DoubleEncryption_Audit.json
Data Box,Azure Data Box jobs should use a customer-managed key to encrypt the device unlock password,Optional,No,,,,,,,,,supportedSKUs,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Data%20Box/DataBox_CMK_Audit.json
Data Factory,Azure Data Factory integration runtime should have a limit for number of cores,Optional,No,,,,,,,,,maxCores,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Data%20Factory/IR_Core_Count_Exceeds_Audit.json
Data Factory,Azure Data Factory linked service resource type should be in allow list,Required,No,,,,,,,,,allowedLinkedServiceResourceTypes,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Data%20Factory/LinkedService_ResourceType_Audit.json
Data Factory,Azure Data Factory linked services should use Key Vault for storing secrets,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Data%20Factory/LinkedService_InlineSecrets_Audit.json
Data Factory,Azure Data Factory linked services should use system-assigned managed identity authentication when it is supported,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Data%20Factory/LinkedService_All_Auth_Audit_except_MSI.json
Data Factory,Azure Data Factory should use a Git repository for source control,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Data%20Factory/Factory_None_GIT_Audit.json
Data Factory,Azure data factories should be encrypted with a customer-managed key,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Data%20Factory/DataFactory_CustomerManagedKey_Audit.json
Data Factory,Public network access on Azure Data Factory should be disabled,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Data%20Factory/DataFactory_PublicNetworkAccess_Audit.json
Data Factory,SQL Server Integration Services integration runtimes on Azure Data Factory should be joined to a virtual network,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Data%20Factory/SSISIR_JoinVirtualNetwork_Audit.json
Data Lake,Require encryption on Data Lake Store accounts,None,No,,,,,,,0304.09o3Organizational.1 - 09.o,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Data%20Lake/DataLakeStoreEncryption_Deny.json
Data Lake,Resource logs in Azure Data Lake Store should be enabled,Optional,Yes,LT-4,5.3,,,,,1202.09aa1System.1 - 09.aa,,requiredRetentionDays,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Data%20Lake/DataLakeStore_AuditDiagnosticLog_Audit.json
Data Lake,Resource logs in Data Lake Analytics should be enabled,Optional,Yes,LT-4,5.3,,,,,1210.09aa3System.3 - 09.aa,,requiredRetentionDays,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Data%20Lake/DataLakeAnalytics_AuditDiagnosticLog_Audit.json
Event Grid,Azure Event Grid domains should disable public network access,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Event%20Grid/Domains_PublicNetworkAccess_AuditDeny.json
